Symbol,Name,% Holding,Shares
NVDA,Nvidia Corp,6.60%,N/A
MSFT,Microsoft Corp,6.22%,N/A
AAPL,Apple Inc,5.15%,N/A
AMZN,Amazon.com Inc,3.62%,N/A
META,Meta Platforms Inc,2.56%,N/A
AVGO,Broadcom Ltd,2.19%,N/A
GOOGL,Alphabet Cl A,1.82%,N/A
TSLA,Tesla Inc,1.52%,N/A
GOOG,Alphabet Cl C,1.49%,N/A
JPM,JP Morgan Chase & Company,1.33%,N/A
LLY,Eli Lilly and Company,1.00%,N/A
V,Visa Inc,0.98%,N/A
NFLX,Netflix Inc,0.86%,N/A
XOM,Exxon Mobil Corp,0.77%,N/A
MA,Mastercard Inc,0.74%,N/A
COST,Costco Wholesale,0.69%,N/A
WMT,Walmart Inc,0.68%,N/A
ORCL,Oracle Corp,0.66%,N/A
JNJ,Johnson & Johnson,0.65%,N/A
PG,Procter & Gamble Company,0.60%,N/A
HD,Home Depot,0.60%,N/A
PLTR,Palantir Technologies Inc Cl A,0.55%,N/A
ABBV,Abbvie Inc,0.54%,N/A
BAC,Bank of America Corp,0.54%,N/A
CVX,Chevron Corp,0.47%,N/A
PM,Philip Morris International Inc,0.46%,N/A
GE,GE Aerospace,0.45%,N/A
KO,Coca-Cola Company,0.45%,N/A
CSCO,Cisco Systems Inc,0.45%,N/A
IBM,Intl Business Machines,0.44%,N/A
WFC,Wells Fargo & Company,0.43%,N/A
UNH,Unitedhealth Group Inc,0.42%,N/A
AMD,Adv Micro Devices,0.42%,N/A
CRM,Salesforce Inc,0.40%,N/A
LIN,Linde Plc,0.36%,N/A
DIS,Walt Disney Company,0.36%,N/A
ABT,Abbott Laboratories,0.35%,N/A
GS,Goldman Sachs Group,0.35%,N/A
MCD,McDonald's Corp,0.35%,N/A
INTU,Intuit Inc,0.34%,N/A
RTX,Rtx Corp,0.33%,N/A
MRK,Merck & Company,0.33%,N/A
NOW,Servicenow Inc,0.33%,N/A
TXN,Texas Instruments,0.32%,N/A
PEP,Pepsico Inc,0.32%,N/A
T,AT&T Inc,0.32%,N/A
CAT,Caterpillar Inc,0.31%,N/A
ISRG,Intuitive Surg Inc,0.30%,N/A
BKNG,Booking Holdings Inc,0.30%,N/A
UBER,Uber Technologies Inc,0.30%,N/A
VZ,Verizon Communications Inc,0.29%,N/A
ACN,Accenture Plc,0.29%,N/A
QCOM,Qualcomm Inc,0.29%,N/A
C,Citigroup Inc,0.28%,N/A
AXP,American Express Company,0.27%,N/A
BLK,Blackrock Inc,0.27%,N/A
BA,Boeing Company,0.27%,N/A
SCHW,The Charles Schwab Corp,0.27%,N/A
MS,Morgan Stanley,0.27%,N/A
SPGI,S&P Global Inc,0.26%,N/A
AMGN,Amgen Inc,0.26%,N/A
NEE,Nextera Energy,0.26%,N/A
ADBE,Adobe Systems Inc,0.26%,N/A
AMAT,Applied Materials,0.26%,N/A
GEV,GE Vernova Inc,0.25%,N/A
BSX,Boston Scientific Corp,0.25%,N/A
TMO,Thermo Fisher Scientific Inc,0.25%,N/A
HON,Honeywell International Inc,0.25%,N/A
ETN,Eaton Corp,0.24%,N/A
PGR,Progressive Corp,0.24%,N/A
TJX,TJX Companies,0.23%,N/A
PFE,Pfizer Inc,0.23%,N/A
COF,Capital One Financial Corp,0.22%,N/A
UNP,Union Pacific Corp,0.22%,N/A
GILD,Gilead Sciences Inc,0.22%,N/A
SYK,Stryker Corp,0.22%,N/A
PANW,Palo Alto Networks Inc,0.22%,N/A
LRCX,Lam Research Corp,0.21%,N/A
CMCSA,Comcast Corp A,0.21%,N/A
MU,Micron Technology,0.21%,N/A
APH,Amphenol Corp,0.21%,N/A
KLAC,K L A-Tencor Corp,0.21%,N/A
LOW,Lowe's Companies,0.20%,N/A
ADP,Automatic Data Processing,0.20%,N/A
BX,Blackstone Inc,0.20%,N/A
DE,Deere & Company,0.20%,N/A
DHR,Danaher Corp,0.20%,N/A
ADI,Analog Devices,0.20%,N/A
VRTX,Vertex Pharmaceutic,0.19%,N/A
CRWD,Crowdstrike Holdings Inc,0.19%,N/A
ANET,Arista Networks Inc,0.19%,N/A
COP,Conocophillips,0.19%,N/A
MDT,Medtronic Inc,0.19%,N/A
SNPS,Synopsys Inc,0.18%,N/A
SPOT,Spotify Technology S.A.,0.18%,N/A
MSTR,Strategy Inc,0.17%,N/A
AMT,American Tower Corp,0.17%,N/A
TMUS,T-Mobile US,0.17%,N/A
SBUX,Starbucks Corp,0.17%,N/A
WELL,Welltower Inc,0.17%,N/A
SO,Southern Company,0.17%,N/A
MMC,Marsh & Mclennan Companies,0.17%,N/A
ICE,Intercontinental Exchange,0.17%,N/A
CB,Chubb Ltd,0.17%,N/A
INTC,Intel Corp,0.17%,N/A
PLD,Prologis Inc,0.16%,N/A
CEG,Constellation Energy Corp,0.16%,N/A
MO,Altria Group,0.16%,N/A
CME,CME Group Inc,0.16%,N/A
TT,Trane Technologies Plc,0.16%,N/A
KKR,KKR & Company LP,0.16%,N/A
LMT,Lockheed Martin Corp,0.16%,N/A
BMY,Bristol-Myers Squibb Company,0.16%,N/A
DUK,Duke Energy Corp,0.15%,N/A
PH,Parker-Hannifin Corp,0.15%,N/A
FI,Fiserv Inc,0.15%,N/A
MDLZ,Mondelez Intl Inc,0.15%,N/A
MCK,Mckesson Corp,0.15%,N/A
RCL,Royal Caribbean Cruises Ltd,0.14%,N/A
TDG,Transdigm Group Inc,0.14%,N/A
APP,Applovin Corp Cl A,0.14%,N/A
CDNS,Cadence Design Sys,0.14%,N/A
DASH,Doordash Inc Cl A,0.14%,N/A
NKE,Nike Inc,0.14%,N/A
COIN,Coinbase Global Inc Cl A,0.14%,N/A
WM,Waste Management,0.14%,N/A
MMM,3M Company,0.14%,N/A
EMR,Emerson Electric Company,0.13%,N/A
ORLY,O'Reilly Automotive,0.13%,N/A
SHW,Sherwin-Williams Company,0.13%,N/A
CI,The Cigna Group,0.13%,N/A
